Order_ID,Product_ID,Product_Name,Category,Supplier_Name,Warehouse_Location,Order_Date,Shipment_Date,Delivery_Date,Shipping_Mode,Customer_Region,Order_Quantity,Unit_Cost,Unit_Price,Total_Cost,Shipping_Cost,Inventory_Level,Lead_Time_Days,Order_Status,Delivery_Status
10006,P852,Jacket,Apparel,NextGen Supplies,China Hub,01-09-2024,03-09-2024,07-09-2024,Truck,Asia,447,128.39,144.8,57390.33,850.55,438,13,Shipped,On-Time
10159,P403,Sneakers,Automotive,Vertex Distributors,USA warehouse,02-29-2024,01-03-2024,13-03-2024,Air, north america,346,53.74,68.88,18594.04,1873.21,779,-3,Cancelled,On-Time
10425,P390,Laptop,Electronics ,Delta Exporters, China Hub,11-05-2024,15-05-2024,21-05-2024,Express,South America,406,451.14,572.22,183162.84,1140.31,165,-3,Shipped,Late
10092,P135,Jeans,Apparel,Orion Manufacturing,Germany Warehouse,20-06-2024,25-06-2024,08-07-2024,Truck,Asia,346,163.22,279.53 USD,56474.12,1637.89,834,11,Shipped,On-Time
10439,P311,Office Chair,Furniture,Vertex Distributors,China Hub,10-11-2024,11-11-2024,18-11-2024,Truck, north america,24,166.32,$313.32,3991.68,1855.72,504,8,Shipped,Late
10096,P306,Car Battery,Automotive,Delta Exporters,USA warehouse,10-29-2024,31-10-2024,08-11-2024,Truck,Europe,289,267.98,388.13,77446.22,195.57,412,1,Cancelled,Late
10107,P426,Smartphone,apparel,Global Tech Ltd,USA Warehouse,27-10-2024,28-10-2024,05-11-2024,Sea,Europe,393,102.72,184.21,40368.96,1628.82,417,7,Shipped,Late
10202,P575,Chocolate,Electronics ,Orion Manufacturing, China Hub,11-02-2023,13-02-2023,16-02-2023,Sea,EUROPE,120,135.95,173.51,16314,1055.71,-41,12,Returned,On-Time
10471,P984,Jeans,Automotive,NextGen Supplies,China Hub,02-19-2024,20-02-2024,02-03-2024,Truck,Europe,257,16.17,$28.05,4155.69,1232.18,944,-1,Delayed,On-Time
10370,P668,Smartphone,electronics,Delta Exporters,USA Warehouse,05-14-2024,15-05-2024,29-05-2024,Express,Asia,56,398.02,$646.01,22289.12,193.11,187,15,Returned,On-Time
10353,P145,Car Battery,Apparel,Orion Manufacturing,Germany Warehouse,10-27-2023,28-10-2023,03-11-2023,Air,South America,79,51.09,75.51,4036.11,954.13,70,-3,Shipped,Late
10123,P468,Dining Table,Furniture,Prime Wholesale,USA warehouse,05-31-2024,05-06-2024,17-06-2024,Sea,North America,226,174.51,$313.0,39439.26,17420.3,550,9,Delayed,On-Time
10067,P645,Headphones,Automotive,Vertex Distributors,China Hub,27-10-2023,29-10-2023,02-11-2023,Air,Asia,36,102.6,196.4,3693.6,1589.29,507,11,Returned,On-Time
10161,P962,Smartphone,electronics,NextGen Supplies,Brazil Hub,02-12-2023,18-02-2023,23-02-2023,Express,Asia,220,184.43,$309.48,40574.6,1930.41,489,11,Shipped,On-Time
10021,P173,Smartphone,Apparel,Alpha Traders,Germany Warehouse,07-05-2024,08-05-2024,10-05-2024,Sea,Asia,211,189.2,244.43 USD,39921.2,9.49,585,19,Cancelled,On-Time
10103,P322,Tablet,apparel,Global Tech Ltd,India DC,08-15-2023,16-08-2023,22-08-2023,Truck,EUROPE,341,259.05,460.47,88336.05,722.55,543,10,Cancelled,Late
10029,P866,Chocolate,electronics,Prime Wholesale, China Hub,09-08-2023,14-08-2023,19-08-2023,Air, north america,238,409.49,$783.11,97458.62,1314.52,-33,9,Returned,Late
10187,P229,T-shirt,apparel,Orion Manufacturing,Brazil Hub,24-11-2023,01-12-2023,10-12-2023,Truck,Asia,450,474.73,658.77,213628.5,574.95,773,11,Shipped,On-Time
10048,P407,Chocolate,Automotive ,Vertex Distributors, China Hub,07-05-2023,,,Truck, north america,81,36.31,71.84 USD,2941.11,239.8,319,10,Returned,On-Time
10453,P507,Dining Table,Electronics ,NextGen Supplies,India DC,07-03-2023,13-03-2023,19-03-2023,Air,Europe,80,449.55,701.72,35964,1548.82,642,10,Delayed,On-Time
10324,P318,Car Battery,Automotive ,Global Tech Ltd,China Hub,16-10-2024,17-10-2024,01-11-2024,Sea,South America,441,221.42,300.86,97646.22,953.96,154,-3,Shipped,On-Time
10406,P858,T-shirt,apparel,Alpha Traders,India DC,09-11-2024,11-11-2024,19-11-2024,Truck,South America,347,207.81,$369.12,72110.07,606.78,963,7,Returned,On-Time
10005,P176,Brake Pads,Electronics ,Alpha Traders,USA Warehouse,02-19-2024,23-02-2024,09-03-2024,Truck,North America,167,388.47,659.92,64874.49,1044.47,53,8,Cancelled,Late
10053,P985,LED TV,apparel,Orion Manufacturing,Germany Warehouse,18-01-2023,22-01-2023,30-01-2023,Sea,North America,462,253.48,458.04,117107.76,9589.5,947,4,Returned,On-Time
10262,P435,Smartphone,Apparel,NextGen Supplies,Germany Warehouse,10-07-2023,14-07-2023,25-07-2023,Sea,Europe,241,480.32,691.07,115757.12,1082.78,744,1,Cancelled,Late
10074,P983,Headphones,electronics,Prime Wholesale,China Hub,01-06-2024,02-06-2024,11-06-2024,Truck,Asia,226,390.65,$779.46,88286.9,1229.79,542,2,Returned,On-Time
10118,P209,Tablet,Furniture,Orion Manufacturing,USA Warehouse,25-10-2024,29-10-2024,07-11-2024,Air,North America,445,361.96,717.15 USD,161072.2,1497.38,539,16,Shipped,Late
10171,P623,Chocolate,Apparel,Prime Wholesale,Germany Warehouse,14-02-2023,19-02-2023,26-02-2023,Sea,Asia,39,67.94,109.83 USD,2649.66,1998.74,512,20,Returned,Late
10490,P107,Office Chair,Electronics ,Vertex Distributors,USA warehouse,01-11-2024,07-11-2024,18-11-2024,Sea,Asia,258,310.6,557.43,80134.8,1392.13,305,20,Delayed,On-Time
10147,P957,Laptop,apparel,Alpha Traders,Germany Warehouse,06-08-2024,10-06-2024,13-06-2024,Sea, north america,114,16.15,27.77,1841.1,937.2,129,14,Returned,On-Time
10272,P174,T-shirt,apparel,Delta Exporters,China Hub,05-09-2024,11-09-2024,15-09-2024,Sea,South America,86,107.55,155.69,9249.3,380.1,546,1,Cancelled,On-Time
10009,P122,Smartphone,Automotive ,Global Tech Ltd,USA warehouse,01-12-2024,17-01-2024,20-01-2024,Sea,North America,165,278.93,$512.7,46023.45,228.31,294,13,Shipped,Late
10046,P506,Jeans,Furniture,Alpha Traders, China Hub,15-05-2023,17-05-2023,29-05-2023,Sea,Asia,202,204.29,360.66,41266.58,5729,984,-3,Shipped,Late
10468,P664,Headphones,Furniture,Global Tech Ltd,India DC,29-12-2023,05-01-2024,14-01-2024,Truck,Europe,80,208.18,267.09,16654.4,1009.14,367,19,Cancelled,Late
10190,P989,Smartphone,Electronics ,NextGen Supplies,China Hub,01-05-2024,03-05-2024,18-05-2024,Air,Asia,232,170.06,$190.65,39453.92,405.25,-26,15,Shipped,Late
10084,P207,Chocolate,Electronics ,Alpha Traders, China Hub,08-19-2024,24-08-2024,02-09-2024,Air,South America,18,182.69,$344.02,3288.42,231.95,185,4,Returned,Late
10059,P305,Chocolate,Electronics ,Vertex Distributors,Brazil Hub,12-13-2023,18-12-2023,25-12-2023,Express,Europe,84,55.31,67.1 USD,4646.04,1974.87,538,-1,Delayed,Late
10087,P229,Frozen Pizza,Automotive,Alpha Traders, China Hub,12-22-2023,26-12-2023,31-12-2023,Truck,EUROPE,291,121.77,180.68,35435.07,1446.07,30,5,Returned,On-Time
10084,P677,Tablet,electronics,Vertex Distributors,USA warehouse,01-06-2023,02-06-2023,08-06-2023,Truck,Europe,95,20.71,28.11,1967.45,1422.22,817,17,Delayed,On-Time
10228,P202,Brake Pads,apparel,Alpha Traders,India DC,29-07-2023,05-08-2023,19-08-2023,Express,Europe,28,250.23,$416.13,7006.44,1665.48,424,7,Delayed,On-Time
10288,P980,T-shirt,Electronics ,Delta Exporters,USA Warehouse,03-13-2024,17-03-2024,20-03-2024,Truck, north america,45,284.81,$415.95,12816.45,1084.06,933,10,Returned,On-Time
10022,P739,Chocolate,Automotive,Alpha Traders,India DC,27-11-2023,04-12-2023,16-12-2023,Sea, north america,190,385.65,667.96,73273.5,227.23,859,8,Returned,Late
10021,P608,LED TV,Electronics,Global Tech Ltd,India DC,04-01-2023,05-01-2023,17-01-2023,Express,North America,288,35.61,60.54 USD,10255.68,391.01,54,4,Shipped,On-Time
10430,P587,Car Battery,Food,NextGen Supplies,India DC,03-29-2023,,,Express,Asia,20,422.2,821.79 USD,8444,574.25,-14,5,Cancelled,Late
10320,P855,Sofa,Furniture,Prime Wholesale,China Hub,15-01-2024,,,Sea,Asia,264,347.18,498.44,91655.52,16614.2,989,14,Returned,Late
10136,P415,Office Chair,apparel,Orion Manufacturing,China Hub,05-03-2023,09-05-2023,13-05-2023,Air,South America,431,124.77,150.02 USD,53775.87,1454.89,110,9,Returned,On-Time
10398,P756,Sofa,Automotive ,Alpha Traders,China Hub,05-25-2023,30-05-2023,04-06-2023,Truck, north america,72,182.68,261.47 USD,13152.96,794.23,776,17,Cancelled,Late
10475,P212,LED TV,Electronics ,Global Tech Ltd,Brazil Hub,11-09-2024,13-09-2024,19-09-2024,Sea,EUROPE,405,394.87,677.19,159922.35,279.34,529,18,Cancelled,Late
10450,P464,Sofa,electronics,Orion Manufacturing, China Hub,18-06-2024,,,Truck,EUROPE,76,369.18,$516.86,28057.68,1191.8,746,20,Cancelled,On-Time
10241,P965,T-shirt,Electronics ,Orion Manufacturing,USA Warehouse,11-06-2024,12-06-2024,23-06-2024,Sea,EUROPE,144,266.32,519.79 USD,38350.08,735.04,132,10,Returned,Late
